City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
318,Veraval,IN,73.53,clear sky,20.9,70.3667,Lords Inn Somnath
320,Lorengau,PG,85.66,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
325,Te Karaka,NZ,75.69,scattered clouds,-38.4654,177.8679,
336,Semirara,PH,79.23,broken clouds,12.0697,121.3986,Jose Rasher Del Rosrio
339,Labuhan,ID,84.07,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
343,Wembley,AU,84.99,clear sky,-31.9333,115.8,Quest on Rheola
345,Voh,NC,83.01,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
350,Bathsheba,BB,78.8,few clouds,13.2167,-59.5167,Atlantis Hotel
358,Vila Velha,BR,77.0,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
359,Sorong,ID,84.22,overcast clouds,-0.8833,131.25,The Waigo Hotel
360,Boa Vista,BR,78.8,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
361,Mathbaria,BD,74.91,clear sky,22.2876,89.9593,Shikdar Hotel
372,Pedernales,DO,75.36,scattered clouds,18.0384,-71.744,Hotel Costa Marina
373,Sadasivpet,IN,77.0,mist,17.6212,77.9503,Anantha sai medical & General store
377,Oranjestad,AW,78.8,few clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
379,Palmas,BR,75.2,light rain,-10.2128,-48.3603,Hotel Lago da Palma
380,Cururupu,BR,74.91,overcast clouds,-1.8283,-44.8683,Pousada Través'cia
381,Kupang,ID,86.0,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
382,Imbituba,BR,78.8,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
384,The Valley,AI,77.0,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
386,Marsh Harbour,BS,74.68,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
387,Minna,NG,78.8,clear sky,9.6139,6.5569,Royal Park hotel & suites
388,Daru,PG,87.62,light rain,-9.0763,143.2092,Daru Lodge
390,Monrovia,LR,78.42,clear sky,6.3005,-10.7969,Sunset Inn
394,Ewa Beach,US,78.8,few clouds,21.3156,-158.0072,Base Lodging
395,Quatre Cocos,MU,81.0,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
398,Ratnagiri,IN,83.25,overcast clouds,16.9833,73.3,Hotel Landmark
400,Amlame,TG,73.49,clear sky,7.4667,0.9,Centre d’Acceuil AMITIE AIFFRES-AMLAME
402,Inhambane,MZ,78.8,scattered clouds,-23.865,35.3833,Oceano
404,Mackay,AU,80.6,overcast clouds,-21.15,149.2,International Lodge Motel
405,Kiama,AU,84.99,clear sky,-34.6833,150.8667,The Sebel Kiama Harbourside
406,Geraldton,AU,86.0,clear sky,-28.7667,114.6,Broadwater Mariner Resort
410,Cabo Rojo,PR,73.99,clear sky,18.0866,-67.1457,Hotel Perichi's
414,Teknaf,BD,76.32,broken clouds,20.8624,92.3058,Forestry Guesthouse
417,Tshane,BW,74.89,broken clouds,-24.0196,21.8684,
418,Black River,JM,77.0,few clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
431,Ambulu,ID,83.25,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
437,Saint-Joseph,RE,80.6,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
439,Xaltianguis,MX,80.6,broken clouds,17.0667,-99.8333,
444,Bang Saphan,TH,80.01,scattered clouds,11.2126,99.5117,Ladawan Boutique Hotel
446,Kailua,US,78.8,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
447,Olinda,BR,78.8,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
451,Nelson Bay,AU,82.99,clear sky,-32.7167,152.15,Mantra Nelson Bay
452,Bambanglipuro,ID,85.44,overcast clouds,-7.95,110.2833,Puri Brata
459,Dhidhdhoo,MV,78.12,moderate rain,6.8833,73.1,Dhidhoo beach
463,Kota Kinabalu,MY,84.2,light rain,5.9749,116.0724,Gaya Centre Hotel
464,Caravelas,BR,73.99,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
466,Biak,ID,85.19,light rain,-0.9131,122.8766,Penginapan Kim
