City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
134,San Ignacio,BZ,2021-01-13 04:25:03,17.1561,-89.0714,70.0,100,90,6.91,overcast clouds
135,San Patricio,US,2021-01-13 04:25:03,28.017,-97.5169,41.0,87,40,3.36,scattered clouds
136,Acapulco,MX,2021-01-13 04:25:03,16.8634,-99.8901,80.6,78,75,5.75,broken clouds
137,Rincon,US,2021-01-13 04:22:24,32.296,-81.2354,50.0,76,90,6.91,overcast clouds
138,Mahebourg,MU,2021-01-13 04:25:04,-20.4081,57.7,78.8,83,75,11.5,broken clouds
139,Mokhsogollokh,RU,2021-01-13 04:25:04,61.4681,128.9203,-38.31,81,96,1.72,overcast clouds
140,Waipawa,NZ,2021-01-13 04:25:04,-41.4122,175.5153,75.2,53,85,18.41,overcast clouds
141,Chippewa Falls,US,2021-01-13 04:25:04,44.9369,-91.3929,25.0,86,1,5.5,mist
142,Bow Island,CA,2021-01-13 04:25:05,49.8668,-111.3684,44.6,57,100,8.05,overcast clouds
143,Vaini,TO,2021-01-13 04:25:05,-21.2,-175.2,84.2,79,75,9.22,broken clouds
144,Tiznit,MA,2021-01-13 04:25:05,29.5833,-9.5,48.02,50,0,6.08,clear sky
145,Morant Bay,JM,2021-01-13 04:25:05,17.8815,-76.4093,77.0,78,20,3.44,few clouds
146,Nanortalik,GL,2021-01-13 04:25:05,60.1432,-45.2371,31.5,95,100,7.99,overcast clouds
147,Moron,AR,2021-01-13 04:25:06,-34.6534,-58.6198,70.0,61,0,1.99,clear sky
148,Cockburn Town,TC,2021-01-13 04:23:43,21.4612,-71.1419,77.59,80,59,18.41,light rain
149,Vao,NC,2021-01-13 04:25:06,-22.6667,167.4833,78.24,85,90,21.54,overcast clouds
150,Kargasok,RU,2021-01-13 04:25:06,59.0556,80.8572,-24.02,87,79,5.35,broken clouds
151,Libreville,GA,2021-01-13 04:25:06,0.3925,9.4537,75.2,94,75,5.75,light rain
152,College,US,2021-01-13 04:25:07,64.8569,-147.8028,-2.2,78,75,3.0,broken clouds
153,Hilo,US,2021-01-13 04:25:07,19.7297,-155.09,75.2,78,40,4.61,light rain
154,Riyadh,SA,2021-01-13 04:21:42,24.6877,46.7219,42.8,52,0,5.14,clear sky
155,Thompson,CA,2021-01-13 04:25:07,55.7435,-97.8558,30.2,100,90,6.91,light snow
156,Sorland,NO,2021-01-13 04:25:08,67.667,12.6934,32.0,69,75,9.22,broken clouds
157,Sibu,MY,2021-01-13 04:25:08,2.3,111.8167,82.4,78,40,1.14,scattered clouds
158,Tashigang,BT,2021-01-13 04:25:08,27.3331,91.5542,58.17,53,67,3.62,broken clouds
159,Rio Gallegos,AR,2021-01-13 04:21:26,-51.6226,-69.2181,42.8,70,0,6.91,clear sky
160,Talnakh,RU,2021-01-13 04:25:09,69.4865,88.3972,-5.69,90,100,3.31,overcast clouds
161,Iranshahr,IR,2021-01-13 04:25:09,27.2025,60.6848,44.6,10,0,4.61,clear sky
162,Tura,IN,2021-01-13 04:25:09,25.5198,90.2201,70.41,33,24,2.57,few clouds
163,Leh,IN,2021-01-13 04:24:04,34.1667,77.5833,6.31,41,0,2.35,clear sky
164,Dunedin,NZ,2021-01-13 04:24:36,-45.8742,170.5036,63.0,78,70,18.99,broken clouds
165,La Paz,BO,2021-01-13 04:24:31,-16.5,-68.15,44.6,87,75,5.97,light rain
166,Kaeo,NZ,2021-01-13 04:25:10,-35.1,173.7833,72.0,75,63,11.99,broken clouds
167,Torbay,CA,2021-01-13 04:25:11,47.6666,-52.7314,30.99,93,90,4.61,overcast clouds
168,Wladyslawowo,PL,2021-01-13 04:25:11,54.7909,18.4009,32.0,93,75,6.91,broken clouds
169,Loikaw,MM,2021-01-13 04:25:11,19.6742,97.2094,70.05,57,48,3.53,scattered clouds
170,Qasigiannguit,GL,2021-01-13 04:25:11,68.8193,-51.1922,21.2,79,75,2.3,broken clouds
171,Yarada,IN,2021-01-13 04:25:12,17.65,83.2667,77.0,73,0,3.44,fog
172,Salalah,OM,2021-01-13 04:25:12,17.0151,54.0924,71.6,35,40,18.41,scattered clouds
173,Slyudyanka,RU,2021-01-13 04:25:12,51.6594,103.7061,2.97,80,74,2.21,broken clouds
174,Haflong,IN,2021-01-13 04:25:12,25.1833,93.0333,70.77,45,21,0.92,few clouds
175,Komsomolskiy,UZ,2021-01-13 04:25:13,40.4272,71.7189,32.0,74,99,4.61,overcast clouds
176,Ivanivka,UA,2021-01-13 04:25:13,46.7208,34.553,38.17,97,100,12.39,light rain
177,Vostok,RU,2021-01-13 04:25:13,46.4856,135.8833,15.73,92,100,1.21,light snow
178,Cuilapa,GT,2021-01-13 04:25:14,14.2764,-90.3003,63.0,94,40,18.41,scattered clouds
179,Faanui,PF,2021-01-13 04:25:14,-16.4833,-151.75,81.18,77,100,19.22,overcast clouds
180,Halifax,CA,2021-01-13 04:25:15,44.6453,-63.5724,30.2,74,75,5.75,broken clouds
181,Odweyne,SO,2021-01-13 04:25:15,9.4092,45.064,61.77,32,25,15.32,scattered clouds
182,Aktas,KZ,2021-01-13 04:25:15,49.7789,72.9608,-13.0,77,40,15.66,scattered clouds
183,San Rafael,AR,2021-01-13 04:25:15,-34.6177,-68.3301,71.11,35,0,7.7,clear sky
184,Clyde River,CA,2021-01-13 04:25:16,70.4692,-68.5914,-14.8,84,75,5.75,broken clouds
185,Zyryanka,RU,2021-01-13 04:25:16,65.75,150.85,-35.75,82,100,6.08,overcast clouds
186,Bubaque,GW,2021-01-13 04:25:16,11.2833,-15.8333,78.53,59,0,11.63,clear sky
